ORISPL,YEAR,PSTATABB,NAMEPCAP,CAPFAC,SECTOR,PLFUELCT,PLNGENAN,PLHTIAN,PLCO2AN,PLCO2RTA,TREATED,NEIGHBOR,POST
55279,2020,IL,1086.2,0.0808,IPP Non-CHP,GAS,768846.0,7770819.0,461804.0,1201.292,0,0,0
55296,2020,IL,312.8,0.0053,IPP Non-CHP,GAS,14431.0,155609.0,9039.0,1252.678,0,0,0
55188,2020,IL,611.2,0.3719,IPP Non-CHP,GAS,1990983.0,13538133.0,804563.0,808.206,0,0,0
55253,2020,IL,356.0,0.0122,IPP Non-CHP,GAS,37942.0,500498.0,29739.0,1567.619,0,0,0
55438,2020,IL,540.0,0.08,IPP Non-CHP,GAS,378234.0,4420334.0,262695.0,1389.061,0,0,0
55199,2020,IL,1728.0,0.0259,IPP Non-CHP,GAS,392216.0,4383568.0,260504.0,1328.372,0,0,0
56462,2020,IL,31.5,0.0205,Electric Utility,GAS,5642.0,48388.0,2828.0,1002.487,0,0,0
54556,2020,IL,54.6,0.5301,Industrial CHP,COAL,253528.0,1744029.0,148380.0,1170.525,0,0,0
384,2020,IL,1320.0,0.091,IPP Non-CHP,GAS,1052271.0,11312188.0,670585.0,1274.549,0,0,0
55131,2020,IL,1256.0,0.6609,IPP Non-CHP,GAS,7271182.0,56452604.0,3354899.0,922.793,0,0,0
876,2020,IL,1319.0,0.1277,IPP Non-CHP,COAL,1475564.0,16187690.0,1697765.0,2301.174,0,0,0
55236,2020,IL,692.0,0.0425,IPP Non-CHP,GAS,257367.0,3387296.0,201305.0,1564.344,0,0,0
55222,2020,IL,692.0,0.0007,IPP Non-CHP,GAS,3949.0,62888.0,3738.0,1892.884,0,0,0
55640,2020,IL,726.0,0.1301,IPP Non-CHP,GAS,827156.0,8143023.0,483948.0,1170.148,0,0,0
55216,2020,IL,218.8,0.3176,IPP CHP,GAS,608815.0,3945138.0,230572.0,757.444,0,0,0
55183,2020,IL,627.5,0.696,IPP Non-CHP,GAS,3825587.0,26831807.0,1594576.0,833.637,0,0,0
879,2020,IL,1785.6,0.054,IPP Non-CHP,COAL,844778.0,12096675.0,1286625.0,3046.068,0,0,0
55238,2020,IL,316.0,0.0467,IPP Non-CHP,GAS,129247.0,1395211.0,82914.0,1283.035,0,0,0
55936,2020,IL,168.0,0.0564,IPP Non-CHP,GAS,82936.0,825182.0,49039.0,1182.57,0,0,0
55109,2020,IL,415.5,0.0211,IPP Non-CHP,GAS,76813.0,928948.0,55471.0,1444.321,0,0,0
961,2020,IL,27.3,0.0073,Electric Utility,GAS,1748.0,17234.0,1281.0,1465.388,0,0,0
55281,2020,IL,407.2,0.0,IPP Non-CHP,GAS,0.0,0.0,0.0,0.0,0,0,0
54044,2020,IL,59.9,0.2027,Commercial CHP,GAS,106347.0,571233.0,33385.0,627.858,0,0,0
55250,2020,IL,353.4,0.1255,IPP Non-CHP,GAS,388647.0,4363612.0,257489.0,1325.055,0,0,0
883,2020,IL,914.7,0.0776,IPP Non-CHP,COAL,621944.0,7877859.0,832780.0,2677.992,0,0,0
884,2020,IL,1268.8,0.0277,IPP Non-CHP,COAL,308360.0,4087934.0,431772.0,2800.438,0,0,0
972,2020,IL,33.4,0.0139,Electric Utility,GAS,4073.0,70422.0,4144.0,2035.052,0,0,0
55392,2020,IL,994.5,0.063,IPP Non-CHP,GAS,548681.0,6015144.0,358081.0,1305.241,0,0,0
7336,2020,IN,168.7,0.0058,Electric Utility,GAS,8569.0,126799.0,7557.0,1763.777,0,0,0
55502,2020,IN,1232.0,0.7925,IPP Non-CHP,GAS,8552340.0,62865154.0,3735984.0,873.675,0,0,0
7335,2020,IN,82.8,0.0068,Electric Utility,GAS,4896.0,71253.0,4455.0,1819.975,0,0,0
6166,2020,IN,2600.0,0.1773,Electric Utility,COAL,4038785.0,41905762.0,4392521.0,2175.17,0,0,0
57794,2020,IN,2186.0,0.2474,IPP Non-CHP,GAS,4737196.0,31951260.0,1898817.0,801.663,0,0,0
50366,2020,IN,39.6,0.2305,Commercial CHP,GAS,79968.0,452297.0,26446.0,661.407,0,0,0
1040,2020,IN,93.9,0.0401,Electric Utility,COAL,32945.0,461185.0,47317.0,2872.46,0,0,0
1353,2020,KY,1096.8,0.095,Electric Utility,GAS,912638.0,9072869.0,539187.0,1181.601,0,1,0
6018,2020,KY,772.0,0.3363,Electric Utility,COAL,2274040.0,26608834.0,2730063.0,2401.068,0,1,0
6041,2020,KY,1608.5,0.5177,Electric Utility,COAL,7294286.0,67437255.0,6919057.0,1897.117,0,1,0
1384,2020,KY,344.0,0.0473,Electric Utility,COAL,142507.0,1722023.0,176679.0,2479.576,0,1,0
55198,2020,KY,1150.0,0.0473,IPP Non-CHP,GAS,476100.0,5501978.0,326974.0,1373.553,0,1,0
54,2020,KY,1663.4,0.0216,Electric Utility,GAS,314249.0,3852808.0,229095.0,1458.044,0,1,0
55297,2020,MI,1176.0,0.699,IPP Non-CHP,GAS,7200741.0,51766839.0,3076431.0,854.476,0,0,0
50555,2020,NC,180.0,0.0022,Electric Utility,OIL,3492.0,38363.0,3105.0,1778.293,0,1,0
50254,2020,NC,28.3,0.8073,Industrial CHP,COAL,200123.0,169607.0,0.0,0.0,0,1,0
55262,2020,OH,49.5,0.0068,Electric Utility,GAS,2926.0,28358.0,1674.0,1144.156,0,0,0
55263,2020,OH,49.5,0.0073,Electric Utility,GAS,3177.0,33759.0,1993.0,1254.895,0,0,0
55264,2020,OH,49.5,0.0056,Electric Utility,GAS,2423.0,20203.0,1193.0,984.565,0,0,0
55990,2020,OH,26.1,0.7627,IPP CHP,GAS,174390.0,910922.0,53238.0,610.567,0,0,0
2836,2020,OH,873.1,0.0307,IPP Non-CHP,COAL,234720.0,2536567.0,260219.0,2217.27,0,0,0
2878,2020,OH,665.3,0.1814,IPP CHP,OIL,1057399.0,13709070.0,1445624.0,2734.302,0,0,0
2903,2020,OH,39.3,0.0098,Electric Utility,GAS,3368.0,62373.0,3696.0,2194.705,0,0,0
2828,2020,OH,1880.4,0.55,IPP Non-CHP,COAL,9059773.0,98432593.0,10097074.0,2228.99,0,0,0
